Ticker,Name,Last Sale,2024 Ratio Stock/S&P500,2023 Ratio Stock/S&P500,2022 Ratio Stock/S&P500,2021 Ratio Stock/S&P500,2020 Ratio Stock/S&P500,Market Cap,Sector,Industry,Recommendation
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),$2.20,0.6775785023419147,0.8592222929247189,1.1943371926110395,0.7597811184376446,0.5759268779232373,34658433225.0,Consumer Staples,Beverages (Production/Distribution),Bad Performer
ABG,Asbury Automotive Group Inc Common Stock,$227.39,0.9132152580270824,1.0308416407944547,1.2552929370323642,0.9398344135970128,1.1354394448804566,4586964971.0,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,Average Performer
ABIO,ARCA biopharma Inc. Common Stock,$3.43,1.381281627105544,0.5597448340226361,1.319725682507681,0.4012847997485149,0.6123412084073823,49759500.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Good Performer
ABL,Abacus Life Inc. Class A Common Stock,$11.79,0.9060987263250824,0.8126293473857578,1.2936396916968649,0.7505833889272682,,753679476.0,Finance,Investment Managers,Average Performer
ABM,ABM Industries Incorporated Common Stock,$46.25,0.8256779083845663,0.7979748879524925,1.1710836213951183,0.9369842501067372,0.9165151924942656,2927231135.0,Finance,Diversified Commercial Services,Bad Performer
ABNB,Airbnb Inc. Class A Common Stock,$146.61,1.0544609673262615,1.277162605482003,0.6166827383336121,0.9289931697880676,,94423263717.0,Finance,Diversified Commercial Services,Average Performer
ABOS,Acumen Pharmaceuticals Inc. Common Stock,$3.05,0.5462718604592045,0.6484116539927054,0.98031763057412,,,183243323.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Bad Performer
ABR,Arbor Realty Trust Common Stock,$13.06,1.011259387109123,0.8943672280434516,0.9333529791247795,1.1107252467598472,0.9693242560131696,2462001460.0,Real Estate,Real Estate Investment Trusts,Average Performer
ABSI,Absci Corporation Common Stock,$4.18,3.137126011940366,1.3164796226025015,0.3402981245258806,,,472689736.0,Health Care,Biotechnology: Commercial Physical & Biological Resarch,Good Performer
ABT,Abbott Laboratories Common Stock,$100.73,0.7682808951576363,0.8082858154602451,0.9920118538399824,1.017002806016068,1.1094195396672897,175233308544.0,Health Care,Biotechnology: Pharmaceutical Preparations,Bad Performer
ABTS,Abits Group Inc Ordinary Shares,$0.651,0.6021266333129967,2.082939550835576,0.1715261059007018,1.695127172026372,0.6100871344167035,23146095.0,Technology,Computer Software: Programming Data Processing,Bad Performer
ABUS,Arbutus Biopharma Corporation Common Stock,$3.36,0.8736299198164384,0.9364640039925172,0.7027775963814222,0.829766241399246,1.047317644855028,634090494.0,Health Care,Biotechnology: Pharmaceutical Preparations,Bad Performer
ABVC,ABVC BioPharma Inc. Common Stock,$0.88,0.109889142375097,0.161259837756937,0.2246480013181632,0.5212137744510279,0.8803016625895168,9549604.0,Health Care,Biotechnology: Pharmaceutical Preparations,Bad Performer
AC,Associated Capital Group Inc. Common Stock,$33.85,0.7177034523657292,0.6801752071446547,1.1892201834254477,0.9598752869609728,0.7794649348360962,724438169.0,Finance,Investment Bankers/Brokers/Service,Bad Performer
ACA,Arcosa Inc. Common Stock ,$86.49,1.003412495340363,1.224601386761942,1.266326693569215,0.7619374347788826,1.0448589236903087,4201904231.0,Industrials,Metal Fabrications,Average Performer
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,$14.62,0.5223125456270757,1.5246564298144685,0.8392753591466485,0.3431564929548631,1.1279215019550268,2415529324.0,Health Care,Biotechnology: Pharmaceutical Preparations,Bad Performer
ACB,Aurora Cannabis Inc. Common Shares,$6.17,0.922032700670048,,0.1696403592414969,0.5341779430926485,0.1300797996112948,336507950.0,Health Care,Pharmaceuticals and Biotechnology,Average Performer
ACCD,Accolade Inc. Common Stock,$7.23,0.5339195025671135,0.7134733091245385,0.3406807761150607,,,566520445.0,Consumer Discretionary,Business Services,Bad Performer
ACCO,Acco Brands Corporation Common Stock,$5.01,0.8086015363443818,0.8716371605451885,0.8775454019378411,0.7994219516010574,0.8390325000874107,479155047.0,Consumer Discretionary,Publishing,Bad Performer
ACDC,ProFrac Holding Corp. Class A Common Stock,$9.34,0.6421287430442637,0.3006667009766895,,,,1493802698.0,Energy,Oilfield Services/Equipment,Bad Performer
ACEL,Accel Entertainment Inc. ,$9.54,0.825455375176336,1.0513409311793,0.7529505844810314,1.0400453283318551,0.7008237147923424,798938672.0,Consumer Discretionary,Services-Misc. Amusement & Recreation,Bad Performer
ACET,Adicet Bio Inc. Common Stock ,$1.45,0.1644462275340605,0.1891086762053491,0.5864276769432583,1.0119168564772023,1.2346862014073103,119151579.0,Health Care,Biotechnology: Pharmaceutical Preparations,Bad Performer
ACGL,Arch Capital Group Ltd. Common Stock,$101.55,1.0498096394254997,0.9752786526677318,1.7585324564087883,0.9889034038429168,0.7208647777742501,38131439767.0,Finance,Property-Casualty Insurers,Average Performer
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,$19.32,0.7964753094208531,0.9124990955232886,0.8620161907803944,,,7254548659.0,Finance,Property-Casualty Insurers,Bad Performer
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,$22.2886,0.7977185673701072,0.9304660746518798,1.0029976536064955,0.7806524955482657,0.9243948268230688,8369240851.0,Finance,Property-Casualty Insurers,Bad Performer
ACHC,Acadia Healthcare Company Inc. Common Stock,$65.07,0.7508334186051389,0.7744350899557653,1.6954067936265882,0.9334495621769408,1.3150320243072706,6036843482.0,Health Care,Medical Specialities,Bad Performer
ACHL,Achilles Therapeutics plc American Depositary Shares,$0.9001,0.735501354251695,0.6696122663758252,0.2518162223930716,,,36978761.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Bad Performer
ACHR,Archer Aviation Inc. Class A Common Stock,$3.01,1.0401685257886817,2.4272529439727935,0.3923451094242412,0.4647862889418721,,973909264.0,Industrials,Aerospace,Average Performer
ACHV,Achieve Life Sciences Inc. Common Shares,$5.34,0.533578118809959,1.3289595190376329,0.3841816103473676,0.7646453593109029,0.6755369800761957,183382558.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Bad Performer
ACI,Albertsons Companies Inc. Class A Common Stock,$20.36,0.8259087941963603,0.686720541150316,1.5768023730640783,,,11756020019.0,Consumer Staples,Food Chains,Bad Performer
ACIC,American Coastal Insurance Corporation Common Stock,$11.94,1.8512968822363312,7.829164842754104,0.2818617365814093,0.5891166223725207,0.4033558005317463,571072183.0,Finance,Property-Casualty Insurers,Good Performer
ACIU,AC Immune SA Common Stock,$3.67,1.3157778545483134,1.711105441628266,0.537203344848112,0.7224388303689498,0.5178095754262256,364056032.0,Health Care,Biotechnology: Pharmaceutical Preparations,Good Performer
ACIW,ACI Worldwide Inc. Common Stock,$34.76,1.178735273033201,1.063628613760801,0.8265000364379889,0.7112578075119171,0.8725783402302832,3665087170.0,Technology,EDP Services,Good Performer
ACLS,Axcelis Technologies Inc. Common Stock,$112.89,0.6426390482886463,1.285954421201267,1.2776483257792486,2.0241718979027343,1.0300737532463,3672593699.0,Technology,Industrial Machinery/Components,Bad Performer
ACLX,Arcellx Inc. Common Stock,$50.45,0.9825656510393834,1.45902990266592,,,,2699204757.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Average Performer
ACM,AECOM Common Stock,$85.49,0.9018544173707612,0.9898976562637516,1.2585534984383169,1.1733824678937743,0.9957190610707242,11637531426.0,Consumer Discretionary,Military/Government/Technical,Average Performer
ACMR,ACM Research Inc. Class A Common Stock,$22.62,1.8776507706077117,1.5680838249763307,0.403703606304977,0.7394949652445072,3.7228038238294503,1402634261.0,Technology,Industrial Machinery/Components,Good Performer
ACN,Accenture plc Class A Ordinary Shares (Ireland),$293.77,0.8622962871614736,0.9866180356190296,0.9819606470768684,1.1079662380922852,1.0344114531454671,184794167161.0,Technology,EDP Services,Bad Performer
ACNB,ACNB Corporation Common Stock,$30.99,0.9513734205934996,0.9716616026724968,1.526059584665873,1.0140014456204294,0.6086298391067115,264641429.0,Finance,Major Banks,Average Performer
ACNT,Ascent Industries Co. Common Stock,$10.4875,0.836023552461783,,0.6975990535700684,1.5946123725507872,0.5318692777252167,106235050.0,Industrials,Steel/Iron Ore,Bad Performer
ACON,Aclarion Inc. Common Stock,$0.303,0.0188281757331266,0.2928139111699659,,,,2485661.0,Health Care,Medical Specialities,Bad Performer
ACR,ACRES Commercial Realty Corp. Common Stock,$12.70,1.2049895019839458,0.9435620249083648,0.8368539043412592,0.8470865102834496,0.2952858985785408,101075668.0,Real Estate,Real Estate Investment Trusts,Good Performer
ACRE,Ares Commercial Real Estate Corporation Common Stock,$6.47,0.6877251924399794,0.7673329930200178,0.9149900596343842,1.0398975571092288,0.7559167740829661,352659067.0,Real Estate,Real Estate Investment Trusts,Bad Performer
ACRS,Aclaris Therapeutics Inc. Common Stock,$1.01,0.1112506783898645,0.0561787719495393,1.2955496543602143,1.7421957227561526,3.0009590623492453,71977434.0,Health Care,Biotechnology: Pharmaceutical Preparations,Bad Performer
ACRV,Acrivon Therapeutics Inc. Common Stock,$7.50,0.5020003794907602,0.3491408008980273,,,,231576990.0,Health Care,Biotechnology: Pharmaceutical Preparations,Bad Performer
ACST,Acasti Pharma Inc. Class A Common Stock,$2.621,0.7051219638743369,0.4137136443754134,0.2218270519967063,1.13061729396199,0.4173828424034501,24635838.0,Health Care,Biotechnology: Pharmaceutical Preparations,Bad Performer
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,$5.52,1.0127768465995337,0.7921535710281955,0.937190209423838,1.0481931773559212,1.2993850713121429,552121170.0,Miscellaneous,Multi-Sector Companies,Average Performer
ACU,Acme United Corporation. Common Stock,$35.53,1.254278029373992,1.5825013825556826,0.8142654751525776,0.8672894545318579,1.1064764823407405,130106596.0,Consumer Discretionary,Industrial Machinery/Components,Good Performer
ACVA,ACV Auctions Inc. Class A Common Stock,$17.86,0.8838420557075239,1.51397162429355,0.5153615359019097,,,2948478806.0,Consumer Discretionary,Business Services,Bad Performer
ADAG,Adagene Inc. American Depositary Shares,$2.64,1.543723800969054,1.244367245443271,0.1981270546825756,,,145585015.0,Health Care,Biotechnology: Pharmaceutical Preparations,Good Performer
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,$1.01,0.725000998928341,0.3601791496126406,0.5159249707678601,0.4844671385194565,3.832007281594637,258117599.0,Health Care,Biotechnology: Pharmaceutical Preparations,Bad Performer
ADBE,Adobe Inc. Common Stock,$477.60,1.066249610522107,1.5846702318016677,0.5803526531946418,1.12110617827006,1.3588358329286965,213964800000.0,Technology,Computer Software: Prepackaged Software,Average Performer
ADC,Agree Realty Corporation Common Stock,$58.88,0.7538041453209376,0.7255321162234987,1.2599399975403895,0.8858258847556866,0.8869579996102717,5924855818.0,Real Estate,Real Estate Investment Trusts,Bad Performer
ADCT,ADC Therapeutics SA Common Shares,$3.33,1.2210287778882976,0.3795670344330794,0.2286887633298996,0.4867807306727603,,275770620.0,Health Care,Biotechnology: Pharmaceutical Preparations,Good Performer
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,$0.22,0.1581313187785554,0.2507024655940068,0.1399605674939454,0.9107212204273964,0.2063554182383988,3562023.0,Consumer Discretionary,Engineering & Construction,Bad Performer
ADEA,Adeia Inc. Common Stock,$11.45,0.9988523593225828,1.0123175032179228,1.4753098861632932,0.722207038894502,0.979348660733952,1242410280.0,Technology,Computer Software: Prepackaged Software,Average Performer
ADI,Analog Devices Inc. Common Stock,$228.15,0.916484144583262,0.999732082987954,0.97113719836484,1.0734666032207567,1.0098261125012649,113211875925.0,Technology,Semiconductors,Average Performer
ADM,Archer-Daniels-Midland Company Common Stock,$60.03,0.6633544896466552,0.6543929433206886,1.665103320415109,1.0777948255109442,0.9803388571696384,29681100474.0,Consumer Staples,Packaged Foods,Bad Performer
ADMA,ADMA Biologics Inc Common Stock,$9.40,1.7346877043721334,0.94797452854451,3.302096224807478,0.5188528583635696,0.4298206768149505,2179006452.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Good Performer
ADN,Advent Technologies Holdings Inc. Class A Common Stock,$3.87,0.0970278998925673,,0.3053910603131288,0.3657822642491997,1.2783441173433447,10012816.0,Utilities,Power Generation,Bad Performer
ADNT,Adient plc Ordinary Shares ,$27.03,0.646405499738821,1.0764339180088065,0.8032446341305978,1.6760585040744125,0.7055595326664363,2427932908.0,Consumer Discretionary,Auto Parts:O.E.M.,Bad Performer
ADP,Automatic Data Processing Inc. Common Stock,$240.09,0.923690433172498,0.8859953632103537,1.1996457519761765,0.9871052502175894,0.9015177166998942,98266755900.0,Technology,EDP Services,Average Performer
ADPT,Adaptive Biotechnologies Corporation Common Stock,$3.58,0.488884564940314,0.493082931826632,0.3385266721723011,0.3902362065657929,1.7462295775208656,527578600.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Bad Performer
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,$11.14,1.8479646378061176,1.90824131199883,0.410343946649125,,,563514260.0,Consumer Discretionary,Industrial Specialties,Good Performer
ADSK,Autodesk Inc. Common Stock,$208.51,0.8694506432909453,0.9607362359569752,0.7291191424484604,1.2370429891589465,1.108047218963095,44603484416.0,Technology,Computer Software: Prepackaged Software,Bad Performer
ADT,ADT Inc. Common Stock,$7.02,0.9656641109734102,0.6315259657860725,1.3332360441309654,0.8463302554450555,0.9178282239775296,6390824975.0,Consumer Discretionary,Diversified Commercial Services,Average Performer
ADTH,AdTheorent Holding Company Inc. Common Stock,$3.19,1.9473175111147112,0.7172600117472964,0.3174664587758663,,,293346853.0,Technology,Computer Software: Programming Data Processing,Good Performer
ADTN,ADTRAN Holdings Inc. Common Stock,$5.55,0.4949727119286753,0.3181520244545803,1.028218590432942,1.215709310394399,1.3231871127648165,439096769.0,Utilities,Telecommunications Equipment,Bad Performer
ADTX,Aditxt Inc. Common Stock,$1.99,0.0706915106845224,0.061237912333001,0.0685733497884191,0.1981769042254967,,3313776.0,Health Care,Biotechnology: Pharmaceutical Preparations,Bad Performer
ADUS,Addus HomeCare Corporation Common Stock,$110.94,0.9869695463042688,0.7570117903306581,1.33066745714779,0.624504087493579,1.068251993614762,1816125076.0,Health Care,Medical/Nursing Services,Average Performer
ADV,Advantage Solutions Inc. Class A Common Stock,$3.52,1.504968441878873,1.3254232016195628,0.3370409369888957,0.4671450927905343,1.0983730444625694,1134071907.0,Consumer Discretionary,Business Services,Good Performer
ADVM,Adverum Biotechnologies Inc. Common Stock,$8.02,0.866669081887406,1.043149484853587,0.4116626683788175,0.1140678860343347,0.8008636789701342,166469937.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Bad Performer
ADXN,Addex Therapeutics Ltd American Depositary Shares,$8.4043,0.4462797107021045,0.3733876347750945,0.1277007921201055,0.3461235651363399,,8768164.0,Health Care,Biotechnology: Pharmaceutical Preparations,Bad Performer
AE,Adams Resources & Energy Inc. Common Stock,$25.75,0.6526099146808105,0.5453128669344731,1.7011788634210452,0.935066201994499,0.556880900784861,66102928.0,Energy,Oil Refining/Marketing,Bad Performer
AEE,Ameren Corporation Common Stock,$70.10,0.7318538384800668,0.6742698501473974,1.2530102261326008,0.9322064468439616,0.9131934655225592,18693593217.0,Utilities,Power Generation,Bad Performer
AEG,Aegon Ltd. New York Registry Shares,$6.48,1.1996624754142482,0.9148701007983188,1.2668275686138388,1.0230901073836904,0.8229432057454188,14285070265.0,Finance,Life Insurance,Good Performer
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,$1.455,0.0843735653998796,0.239710562219767,0.5694298860033055,0.5080405749868219,1.00987934959461,12906754.0,Industrials,Building Materials,Bad Performer
AEHR,Aehr Test Systems Common Stock,$11.05,0.2968081390809352,3.7069877451226287,3.3951144804730946,1.1198011408441144,0.8365461301351858,319507755.0,Industrials,Electrical Products,Bad Performer
AEI,Alset Inc. Common Stock (TX),$0.87,0.279250689547247,0.3425255691271339,0.2841905796944151,0.0735574104795164,,8034554.0,Finance,Real Estate,Bad Performer
AEIS,Advanced Energy Industries Inc. Common Stock,$104.31,0.9329969732929392,1.001417112150435,1.155909421647347,0.7229443178215162,1.1727203817246543,3905643865.0,Technology,Industrial Machinery/Components,Average Performer
AEM,Agnico Eagle Mines Limited Common Stock,$67.39,1.0143473693582843,0.8136756476756734,1.2981543741710624,0.564865320996437,1.0209188409693053,33623609932.0,Basic Materials,Precious Metals,Average Performer
AEMD,Aethlon Medical Inc. Common Stock,$0.42,0.1010927575083474,0.293964360051894,0.6228221466473296,0.928186890778711,0.1221903382165251,1100568.0,Miscellaneous,Diversified Commercial Services,Bad Performer
AEO,American Eagle Outfitters Inc. Common Stock,$24.05,1.5009393738390835,0.7742183603098733,0.86798835335549,1.385966231809,0.5970222595336238,4741614402.0,Consumer Discretionary,Clothing/Shoe/Accessory Stores,Good Performer
AEP,American Electric Power Company Inc. Common Stock,$87.47,0.8637955626220267,0.7069459487977926,1.3546096389314142,0.877603593099239,0.7980730352717348,46107340260.0,Utilities,Electric Utilities: Central,Bad Performer
AER,AerCap Holdings N.V. Ordinary Shares,$90.35,1.2264657092495548,1.006656462332786,1.0736455109790235,1.1690370736742182,0.6410587241224491,18295257729.0,Consumer Discretionary,Diversified Commercial Services,Good Performer
AES,The AES Corporation Common Stock,$21.07,0.8214835080369767,0.5547429909603729,1.4565730699927375,0.8317896202513331,1.052574723918712,14973746252.0,Utilities,Electric Utilities: Central,Bad Performer
AESI,Atlas Energy Solutions Inc. Common Stock,$23.30,1.0766055314050225,,,,,2559516557.0,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),Average Performer
AEVA,Aeva Technologies Inc. Common Stock,$3.16,0.5175207026931322,0.4598424929938735,0.2024570422310721,0.3579196018362366,,166996605.0,Consumer Discretionary,Auto Parts:O.E.M.,Bad Performer
AEYE,AudioEye Inc. Common Stock,$25.59,2.731832254327452,0.9528989518997116,0.6806585118132973,0.2191638171902976,4.572205360574808,297840500.0,Technology,EDP Services,Good Performer
AEZS,Aeterna Zentaris Inc. Common Stock,$10.25,0.6094429130279199,0.4707585084993164,0.4142355575641454,0.5480748448729716,0.423821706203275,12443182.0,Health Care,Biotechnology: Pharmaceutical Preparations,Bad Performer
AFBI,Affinity Bancshares Inc. Common Stock (MD),$17.2461,1.0700884377753572,0.8738996666399215,1.2061684098158936,1.2314279975093,0.7344703158068664,110661808.0,Finance,Banks,Average Performer
AFG,American Financial Group Inc. Common Stock,$125.35,0.9418532385870771,0.703273322601811,1.2709550920016273,1.5484241309520717,0.7171613704845402,10512724940.0,Finance,Property-Casualty Insurers,Average Performer
AFL,AFLAC Incorporated Common Stock,$87.18,1.0533801204704052,0.9380915209806426,1.550444718485911,1.075650483758459,0.7430755645297116,49537632929.0,Finance,Accident &Health Insurance,Average Performer
AFMD,Affimed N.V.,$4.02,0.4537661146218091,0.4164768240317701,0.268616726268871,0.7072517250927903,1.904910293063203,61214401.0,Health Care,Biotechnology: Pharmaceutical Preparations,Bad Performer
AFRI,Forafric Global PLC Ordinary Shares,$10.76,0.8031692288578746,0.7644322412392099,1.3816922514993053,,,289220214.0,Consumer Staples,Packaged Foods,Bad Performer
AFRM,Affirm Holdings Inc. Class A Common Stock,$28.72,1.9229516005592888,0.7665457745589467,0.3014535308683695,,,8878059632.0,Finance,Finance: Consumer Services,Good Performer
AFYA,Afya Limited Class A Common Shares,$17.15,1.318250390202853,1.0602908720839137,1.371159282038255,0.4976688011993815,0.7956529173873852,1542631404.0,Real Estate,Other Consumer Services,Good Performer
AG,First Majestic Silver Corp. Ordinary Shares (Canada),$7.26,0.9333264970595044,0.5733256908677764,0.9659829526991592,0.6064766118240373,0.9539496592744992,2085257297.0,,,Average Performer
AGAE,Allied Gaming & Entertainment Inc. Common Stock,$0.725,0.5978704192301302,0.762319158256425,0.7622724944481281,0.9093913059130544,0.5094507683720416,32998602.0,Telecommunications,Cable & Other Pay Television Services,Bad Performer
AGBA,AGBA Group Holding Limited Ordinary Share,$3.02,1.329962524486534,0.2424167488671186,0.1739850917347297,0.8148916325683437,0.9051418205565268,246856482.0,Finance,Investment Managers,Good Performer
AGCO,AGCO Corporation Common Stock,$104.65,0.7986284076161524,0.7172520394686042,1.4708704833821364,0.9069949878024726,1.154398457661316,7808930780.0,Industrials,Industrial Machinery/Components,Bad Performer
AGEN,Agenus Inc. Common Stock,$15.03,0.287271902746114,0.2738729559187015,0.8675167324782606,0.7740355370902929,0.6827208338104087,315618893.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Bad Performer
AGFY,Agrify Corporation Common Stock,$0.292,0.0585642944290587,0.154500437737613,0.0043367605627247,,,4154981.0,Consumer Staples,Farming/Seeds/Milling,Bad Performer
AGI,Alamos Gold Inc. Class A Common Shares,$16.75,0.9902571167586994,1.0195482249976258,1.7372177485500475,0.6272476377136547,1.2921386981050147,6645911553.0,,,Average Performer
AGIO,Agios Pharmaceuticals Inc. Common Stock,$38.00,1.060909712739439,0.6686454496133519,0.9919694505869954,0.5761074828613032,0.7908783431922902,2157372708.0,Health Care,Biotechnology: Pharmaceutical Preparations,Average Performer
AGL,agilon health inc. Common Stock,$5.76,0.1796791373779627,0.6499655703065843,0.7249991826924524,,,2368866868.0,Health Care,Misc Health and Biotechnology Services,Bad Performer
AGM,Federal Agricultural Mortgage Corporation Common Stock,$171.93,1.0755718290929042,1.3280180161194468,1.143307378739559,1.3311777910458689,0.8113500500215515,1870742993.0,Finance,Finance Companies,Average Performer
AGO,Assured Guaranty Ltd. Common Stock,$76.14,1.1775559787933365,0.9824797284122868,1.525050812821159,1.2915989520955011,0.5722465516998179,4145282558.0,Finance,Property-Casualty Insurers,Good Performer
AGR,Avangrid Inc. Common Stock,$35.80,0.7997054394688925,0.6225736300059332,1.1008254707477236,0.8931919441480983,0.8049837772982699,13851244108.0,Utilities,Electric Utilities: Central,Bad Performer
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,$0.1315,0.0036584886664702,0.0069090222449834,0.6388646236863498,,,3423802.0,Industrials,Metal Fabrications,Bad Performer
AGRO,Adecoagro S.A. Common Shares,$9.70,1.0069192460594876,1.1629930956229309,1.226664479987004,0.8482295876198621,0.7254638649153812,1010107686.0,Consumer Staples,Farming/Seeds/Milling,Average Performer
AGS,PlayAGS Inc. Common Stock,$11.50,1.5696818008347002,1.3636185229939206,0.878718033203992,0.8381595041327551,0.515261010960678,453727291.0,Consumer Discretionary,Miscellaneous manufacturing industries,Good Performer
AGYS,Agilysys Inc. Common Stock (DE),$96.67,1.100219523015363,2.2694031387001004,0.7108447800319897,1.9179050239452795,0.90196233696953,2653998771.0,Technology,EDP Services,Good Performer
AHCO,AdaptHealth Corp. Common Stock,$9.99,0.6871063521935552,0.3026748715787548,1.012854489115357,0.5304945957208671,2.964321665515928,1330687221.0,Health Care,Medical/Nursing Services,Bad Performer
AHG,Akso Health Group ADS,$1.12,1.4565900484991254,0.2424155397889569,0.8105680556456589,0.9120312755594456,0.1386699579397535,120083958.0,Consumer Discretionary,Business Services,Good Performer
AHH,Armada Hoffler Properties Inc. Common Stock,$10.93,0.8765563625709142,0.8669808305023022,0.9396974122677394,1.127915062083705,0.5679697702782873,733112819.0,Finance,Real Estate,Bad Performer
AHT,Ashford Hospitality Trust Inc Common Stock,$1.20,0.2572584348473041,0.3463548428418283,0.5257553323283625,0.3145070863506608,0.0838228409016913,50887654.0,Real Estate,Real Estate Investment Trusts,Bad Performer
AI,C3.ai Inc. Class A Common Stock,$23.92,0.7730031855332866,1.0250644642610829,0.2968430851555655,,,2919407081.0,Technology,Computer Software: Prepackaged Software,Bad Performer
AIG,American International Group Inc. New Common Stock,$77.57,1.1765278099158103,0.8820217817958779,1.3753639267941262,1.2185926663477151,0.6615994422425611,51480727458.0,Finance,Life Insurance,Good Performer
